gg01_motion,gg06_plane_select,gg08_work_offset,gg14_wp_measure_mode,X,Y,Z,F,M,comment
,,,,,,,,,; Initialize the program
,,,G90,,,,,,; Set to absolute positioning mode
,G17,,G90,,,,,,
,G17,G54,G90,,,,,,
,G17,G54,G90,,,,,,; Define the raster pattern parameters
,G17,G54,G90,,,,,,; Spacing between raster lines
,G17,G54,G90,,,,,M0,
G1,G17,G54,G90,,,,5000.000,,; Set feed rate in millimeters per minute
G1,G17,G54,G90,920.000,950.000,1250.000,5000.000,,
G1,G17,G54,G90,920.000,950.000,1250.000,5000.000,M0,
G1,G17,G54,G90,1250.000,1050.000,1250.000,5000.000,,
G1,G17,G54,G90,1250.000,1050.000,1250.000,5000.000,,; Loop through rows
G1,G17,G54,G90,920.000,950.000,1250.000,5000.000,,
G1,G17,G54,G90,920.000,950.000,1250.000,250.000,,; Set feed rate in millimeters per minute
G1,G17,G54,G90,920.000,950.000,1250.000,250.000,M0,
G1,G17,G54,G90,1250.000,950.000,1250.000,250.000,,
G1,G17,G54,G90,1250.000,950.000,1250.000,250.000,,; Move up one row
G1,G17,G54,G90,1250.000,951.000,1250.000,250.000,,
G1,G17,G54,G90,920.000,951.000,1250.000,250.000,,
G1,G17,G54,G90,920.000,951.000,1250.000,250.000,,; Move up one row
G1,G17,G54,G90,920.000,952.000,1250.000,250.000,,
G1,G17,G54,G90,1250.000,952.000,1250.000,250.000,,
G1,G17,G54,G90,1250.000,952.000,1250.000,250.000,,; Move up one row
G1,G17,G54,G90,1250.000,953.000,1250.000,250.000,,
G1,G17,G54,G90,920.000,953.000,1250.000,250.000,,
G1,G17,G54,G90,920.000,953.000,1250.000,250.000,,; Move up one row
G1,G17,G54,G90,920.000,954.000,1250.000,250.000,,
G1,G17,G54,G90,1250.000,954.000,1250.000,250.000,,
G1,G17,G54,G90,1250.000,954.000,1250.000,250.000,,; Move up one row
G1,G17,G54,G90,1250.000,955.000,1250.000,250.000,,
G1,G17,G54,G90,920.000,955.000,1250.000,250.000,,
G1,G17,G54,G90,920.000,955.000,1250.000,250.000,,; Move up one row
G1,G17,G54,G90,920.000,956.000,1250.000,250.000,,
G1,G17,G54,G90,1250.000,956.000,1250.000,250.000,,
G1,G17,G54,G90,1250.000,956.000,1250.000,250.000,,; Move up one row
G1,G17,G54,G90,1250.000,957.000,1250.000,250.000,,
G1,G17,G54,G90,920.000,957.000,1250.000,250.000,,
G1,G17,G54,G90,920.000,957.000,1250.000,250.000,,; Move up one row
G1,G17,G54,G90,920.000,958.000,1250.000,250.000,,
G1,G17,G54,G90,1250.000,958.000,1250.000,250.000,,
G1,G17,G54,G90,1250.000,958.000,1250.000,250.000,,; Move up one row
G1,G17,G54,G90,1250.000,959.000,1250.000,250.000,,
G1,G17,G54,G90,920.000,959.000,1250.000,250.000,,
G1,G17,G54,G90,920.000,959.000,1250.000,250.000,,; Move up one row
G1,G17,G54,G90,920.000,960.000,1250.000,250.000,,
G1,G17,G54,G90,1250.000,960.000,1250.000,250.000,,
G1,G17,G54,G90,1250.000,960.000,1250.000,250.000,,; Move up one row
G1,G17,G54,G90,1250.000,961.000,1250.000,250.000,,
G1,G17,G54,G90,920.000,961.000,1250.000,250.000,,
G1,G17,G54,G90,920.000,961.000,1250.000,250.000,,; Move up one row
G1,G17,G54,G90,920.000,962.000,1250.000,250.000,,
G1,G17,G54,G90,1250.000,962.000,1250.000,250.000,,
G1,G17,G54,G90,1250.000,962.000,1250.000,250.000,,; Move up one row
G1,G17,G54,G90,1250.000,963.000,1250.000,250.000,,
G1,G17,G54,G90,920.000,963.000,1250.000,250.000,,
G1,G17,G54,G90,920.000,963.000,1250.000,250.000,,; Move up one row
G1,G17,G54,G90,920.000,964.000,1250.000,250.000,,
G1,G17,G54,G90,1250.000,964.000,1250.000,250.000,,
G1,G17,G54,G90,1250.000,964.000,1250.000,250.000,,; Move up one row
G1,G17,G54,G90,1250.000,965.000,1250.000,250.000,,
G1,G17,G54,G90,920.000,965.000,1250.000,250.000,,
G1,G17,G54,G90,920.000,965.000,1250.000,250.000,,; Move up one row
G1,G17,G54,G90,920.000,966.000,1250.000,250.000,,
G1,G17,G54,G90,1250.000,966.000,1250.000,250.000,,
G1,G17,G54,G90,1250.000,966.000,1250.000,250.000,,; Move up one row
G1,G17,G54,G90,1250.000,967.000,1250.000,250.000,,
G1,G17,G54,G90,920.000,967.000,1250.000,250.000,,
G1,G17,G54,G90,920.000,967.000,1250.000,250.000,,; Move up one row
G1,G17,G54,G90,920.000,968.000,1250.000,250.000,,
G1,G17,G54,G90,1250.000,968.000,1250.000,250.000,,
G1,G17,G54,G90,1250.000,968.000,1250.000,250.000,,; Move up one row
G1,G17,G54,G90,1250.000,969.000,1250.000,250.000,,
G1,G17,G54,G90,920.000,969.000,1250.000,250.000,,
G1,G17,G54,G90,920.000,969.000,1250.000,250.000,,; Move up one row
G1,G17,G54,G90,920.000,970.000,1250.000,250.000,,
G1,G17,G54,G90,1250.000,970.000,1250.000,250.000,,
G1,G17,G54,G90,1250.000,970.000,1250.000,250.000,,; Move up one row
G1,G17,G54,G90,1250.000,971.000,1250.000,250.000,,
